transaction_id,currency,id,ip_address,device,payment_method,user_registration_country,transaction_type,amount,user_id,country,timestamp,merchant,user_age,card_type,is_fraud
TX3001,USD,1,10.0.0.1,Android,,,,120.0,U1001,US,2026-01-02 12:00:00,,,,False
TX3002,USD,2,185.22.11.5,Unknown,,,,5000.0,U1001,RU,2026-01-02 12:05:00,,,,True
TX3003,USD,3,10.0.0.1,Android,,,,89.0,U1001,US,2026-01-05 18:22:00,,,,False
TX3004,EUR,4,91.45.12.7,iPhone,,,,50.0,U1002,DE,2026-01-04 09:14:00,,,,True
TX3005,EUR,5,91.45.12.7,iPhone,,,,70.0,U1002,DE,2026-01-04 11:30:00,,,,True
TX3006,USD,6,123.45.67.89,Unknown,,,,3000.0,U1002,CN,2026-01-04 11:35:00,,,,True
TX3007,USD,7,192.168.1.20,Windows,,,,15.0,U1003,US,2026-01-06 20:00:00,,,,False
TX3008,USD,8,192.168.1.20,Windows,,,,20.0,U1003,US,2026-01-06 21:00:00,,,,False
TX3009,USD,9,192.168.1.20,Windows,,,,25.0,U1003,US,2026-01-07 22:00:00,,,,False
TX3010,USD,10,185.22.11.5,Unknown,,,,4000.0,U1003,RU,2026-01-07 22:05:00,,,,True
TX3011,USD,11,10.10.0.5,MacOS,,,,300.0,U1004,US,2026-01-08 10:30:00,,,,False
TX3012,USD,12,10.10.0.5,MacOS,,,,350.0,U1004,US,2026-01-08 13:30:00,,,,False
TX3013,USD,13,10.10.0.5,MacOS,,,,290.0,U1004,US,2026-01-09 14:30:00,,,,False
TX3014,USD,14,222.33.44.55,Unknown,,,,10000.0,U1005,CN,2026-01-10 09:00:00,,,,True
TX3015,USD,15,222.33.44.55,Unknown,,,,9000.0,U1005,CN,2026-01-10 09:10:00,,,,True
TX3016,USD,16,222.33.44.55,Unknown,,,,8500.0,U1005,CN,2026-01-10 09:15:00,,,,True
TX3017,USD,17,222.33.44.55,Unknown,,,,11000.0,U1005,CN,2026-01-10 09:20:00,,,,True
TX3018,EUR,18,81.22.33.44,Android,,,,40.0,U1006,FR,2026-01-11 12:40:00,,,,True
TX3019,EUR,19,81.22.33.44,Android,,,,35.0,U1006,FR,2026-01-12 13:00:00,,,,True
TX3020,EUR,20,81.22.33.44,Android,,,,55.0,U1006,FR,2026-01-13 15:20:00,,,,True
TX3021,USD,21,192.168.2.5,Android,,,,60.0,U1007,US,2026-01-14 18:00:00,,,,False
TX3022,USD,22,185.22.11.6,Unknown,,,,5000.0,U1007,RU,2026-01-14 18:05:00,,,,True
TX3023,USD,23,185.22.11.6,Unknown,,,,6500.0,U1007,RU,2026-01-14 18:06:00,,,,True
TX3024,USD,24,185.22.11.6,Unknown,,,,7000.0,U1007,RU,2026-01-14 18:07:00,,,,True
TX3025,USD,25,10.1.1.1,iPhone,,,,150.0,U1008,US,2026-01-15 09:30:00,,,,False
TX3026,USD,26,10.1.1.1,iPhone,,,,200.0,U1008,US,2026-01-16 10:00:00,,,,False
TX3027,USD,27,10.1.1.1,iPhone,,,,180.0,U1008,US,2026-01-17 11:00:00,,,,False
TX3028,GBP,28,55.44.33.22,Windows,,,,90.0,U1009,UK,2026-01-18 13:00:00,,,,True
TX3029,GBP,29,55.44.33.22,Windows,,,,120.0,U1009,UK,2026-01-19 14:00:00,,,,True
TX3030,GBP,30,55.44.33.22,Windows,,,,130.0,U1009,UK,2026-01-20 16:00:00,,,,True
TX3031,USD,31,88.99.11.22,Unknown,,,,4000.0,U1009,CN,2026-01-20 16:05:00,,,,True
TX3032,USD,32,172.16.0.1,Android,,,,25.0,U1010,US,2026-01-21 09:00:00,,,,False
TX3033,USD,33,172.16.0.1,Android,,,,30.0,U1010,US,2026-01-22 09:10:00,,,,False
TX3034,USD,34,172.16.0.1,Android,,,,35.0,U1010,US,2026-01-23 09:20:00,,,,False
TX3035,USD,35,199.11.22.33,Unknown,,,,6000.0,U1011,RU,2026-01-24 22:00:00,,,,True
TX3036,USD,36,199.11.22.33,Unknown,,,,6200.0,U1011,RU,2026-01-24 22:05:00,,,,True
TX3037,USD,37,199.11.22.33,Unknown,,,,6400.0,U1011,RU,2026-01-24 22:07:00,,,,True
TX294006,USD,38,10.0.0.52,Android,GooglePay,US,POS,276.47,U1005,US,2026-02-05 22:08:00,Amazon,30.0,Visa,False
TX746536,USD,39,185.98.96.127,Unknown,Card,US,Online,2357.7,U9992,CN,2026-02-05 22:08:00,UnknownShop,28.0,Mastercard,True
TX695343,USD,40,185.243.4.90,Unknown,Card,US,Online,5260.41,U9992,CN,2026-02-05 22:08:00,AliExpress,37.0,Visa,True
TX122549,USD,41,10.0.0.124,iPhone,ApplePay,US,POS,28.99,U1005,US,2026-02-05 22:08:00,Amazon,30.0,Mastercard,False
TX170594,USD,42,10.0.0.154,iPhone,Card,US,POS,111.29,U1001,US,2026-02-05 22:08:00,Apple,28.0,Mastercard,False
TX803782,USD,43,10.0.0.221,iPhone,ApplePay,US,Online,221.58,U1002,US,2026-02-05 22:08:00,Apple,35.0,Mastercard,False
TX654729,USD,44,10.0.0.142,Android,Card,US,POS,119.09,U1005,US,2026-02-05 22:08:00,Apple,30.0,Visa,False
TX893007,USD,45,10.0.0.112,Android,ApplePay,KZ,POS,282.17,U1004,KZ,2026-02-05 22:08:00,eBay,23.0,Mastercard,True
TX726095,USD,46,10.0.0.61,iPhone,Card,US,POS,100.62,U1005,US,2026-02-05 22:08:00,Amazon,30.0,Visa,False
TX575178,USD,47,10.0.0.188,Android,ApplePay,US,POS,148.62,U1002,US,2026-02-05 22:08:00,Netflix,35.0,Visa,False
TX873210,USD,48,10.0.0.21,Windows,Card,KZ,POS,176.69,U1004,KZ,2026-02-05 22:08:00,eBay,23.0,Visa,True
